ident,expense_total,income_assetsales,hours_outside_age16_65,treatment,hours_outside_age6_65,hours_chores_age6_65,members_resid,nadults_resid,head_age,act_livestock,act_business,borrowed_total
170065,2040,0,36,0,90,63,NA,NA,NA,NA,NA,NA
169082,4390,0,0,0,0,28,NA,NA,NA,NA,NA,NA
172005,62440,0,0,0,0,42,NA,NA,NA,NA,NA,NA
172060,0,0,0,0,0,54,NA,NA,NA,NA,NA,NA
172066,867,0,0,0,0,0,1,1,78,0,0,0
172053,1820,0,60,0,60,49,4,4,37,0,0,0
172068,0,0,70,0,70,0,3,2,25,0,0,0
170080,1150,0,0,0,54,36,4,2,35,0,0,1
169038,1650,0,0,0,0,14,5,3,30,1,0,1
170021,240,0,102,0,102,30,5,3,42,0,1,1
170040,480,0,0,0,0,28,3,2,37,0,1,0
170004,400,0,54,0,108,48,7,5,50,0,0,0
169001,1450,0,0,0,0,21,7,4,47,1,0,0
172089,9140,0,0,0,0,49,5,3,43,1,0,0
172050,10560,0,0,0,48,35,5,2,38,1,0,1
169074,1950,0,0,0,0,0,4,2,38,1,0,0
172072,950,0,150,0,150,56,6,5,32,1,0,0
170063,3000,0,0,0,0,21,3,2,28,1,1,0
172090,32040,0,0,0,0,56,4,3,33,0,1,0
172081,1550,0,70,0,70,21,9,7,51,1,0,1
172031,0,0,84,0,84,28,4,4,62,0,0,0
172056,4620,0,40,0,40,63,5,5,66,0,0,0
172016,3600,0,0,0,0,35,6,5,48,1,0,0
172037,0,0,0,0,0,21,6,3,37,0,0,0
172022,0,0,48,0,48,63,3,3,52,0,0,1
172061,7420,0,48,0,48,63,3,3,40,1,0,0
172052,1800,0,0,0,32,52,6,3,43,1,0,0
173041,790,0,0,1,0,42,NA,NA,NA,NA,NA,NA
173076,3470,0,208,1,208,90,NA,NA,NA,NA,NA,NA
173090,0,0,0,1,60,44,NA,NA,NA,NA,NA,NA
173004,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
173074,2400,0,0,1,0,54,5,4,43,0,1,1
171096,1320,0,0,1,0,14,5,4,67,1,0,0
171082,0,0,0,1,70,49,6,3,45,1,0,0
171097,0,0,56,1,56,42,4,2,37,0,0,0
173028,108000,0,0,1,0,14,4,2,29,0,1,0
171009,5040,0,48,1,96,48,5,3,50,1,0,0
171062,0,0,0,1,0,0,2,1,NA,0,0,0
171077,0,0,48,1,48,35,3,2,67,0,0,0
173075,3720,0,42,1,42,91,4,4,44,0,0,0
171095,24370,0,48,1,48,42,3,3,62,1,0,0
171091,910,0,60,1,114,42,7,5,37,1,0,0
171002,1250,0,70,1,70,56,5,3,53,1,0,0
171086,0,0,0,1,0,30,5,2,34,1,0,0
171022,0,0,54,1,54,0,4,2,32,0,0,0
171037,14620,0,0,1,0,28,4,4,53,1,0,0
171056,0,0,0,1,0,21,5,2,50,0,0,0
171079,2,0,0,1,0,28,1,1,64,0,0,0
171034,4560,0,0,1,48,49,5,2,47,1,0,1
171035,0,0,0,1,0,42,4,3,43,0,0,1
171039,0,0,70,1,70,21,7,4,37,0,0,0
173024,1320,0,0,1,48,42,5,2,39,1,0,0
171068,0,0,0,1,40,14,4,2,39,0,0,0
222058,16400,0,0,0,0,120,NA,NA,NA,NA,NA,NA
222102,4800,0,63,0,63,175,NA,NA,NA,NA,NA,NA
222012,0,0,0,0,0,112,NA,NA,NA,NA,NA,NA
222095,0,0,56,0,104,56,NA,NA,NA,NA,NA,NA
222072,0,0,56,0,56,63,NA,NA,NA,NA,NA,NA
222025,0,0,0,0,0,0,3,2,23,0,0,0
222109,0,0,0,0,0,35,3,2,40,0,0,0
222037,0,0,0,0,0,86,7,6,45,0,0,0
222069,0,0,0,0,0,7,3,2,36,0,0,0
222046,0,0,0,0,0,56,4,2,31,0,0,0
222098,0,0,0,0,48,56,5,2,40,0,0,0
222086,0,0,56,0,56,21,1,1,43,0,0,0
222107,0,0,24,0,24,21,1,1,42,0,0,0
222031,17440,0,0,0,0,84,8,5,52,1,0,0
222106,12370,0,48,0,96,42,7,5,50,1,0,0
222001,0,0,0,0,0,56,4,2,36,0,0,0
222093,0,0,0,0,0,56,3,2,26,0,0,0
222085,0,0,0,0,0,28,2,2,66,0,0,0
222021,1440,0,0,0,56,112,9,7,50,1,0,0
222104,2640,0,144,0,192,42,9,6,53,1,0,0
222038,0,0,0,0,0,35,2,2,34,0,0,0
222006,5500,0,0,0,0,76,6,6,77,1,0,0
222110,3000,0,0,0,0,63,7,6,75,1,0,0
222074,0,0,56,0,56,56,3,2,22,0,0,0
222061,0,0,60,0,60,0,4,2,36,0,0,0
222079,14560,0,0,0,0,28,2,2,32,1,0,0
222088,0,0,70,0,70,42,3,2,41,0,0,0
222051,0,0,14,0,14,21,1,1,27,0,0,0
222068,0,0,0,0,0,0,1,1,70,0,0,0
222077,34800,0,0,0,0,42,5,2,42,0,1,0
222044,0,0,108,0,108,84,10,7,64,0,0,0
223064,0,0,48,1,48,112,NA,NA,NA,NA,NA,NA
223011,76146,0,14,1,14,175,NA,NA,NA,NA,NA,NA
223035,49000,0,0,1,0,56,NA,NA,NA,NA,NA,NA
223091,5800,0,112,1,112,35,NA,NA,NA,NA,NA,NA
223077,22540,0,0,1,0,35,NA,NA,NA,NA,NA,NA
223039,41700,0,0,1,0,74,6,4,53,1,1,0
223069,0,0,0,1,0,28,4,2,3,0,0,0
223099,18400,0,0,1,0,42,2,2,48,1,0,0
223081,0,0,0,1,0,0,3,2,34,0,0,0
223060,0,0,0,1,0,0,5,2,40,1,0,0
223050,0,0,0,1,0,42,3,2,31,0,0,0
223048,0,0,24,1,24,56,8,2,47,1,0,0
223001,72100,0,0,1,0,0,6,2,37,1,0,0
223076,0,0,0,1,0,35,2,2,43,1,0,0
223009,29900,0,0,1,0,76,7,7,56,1,0,0
223054,0,0,0,1,0,21,2,2,65,0,0,0
223002,61020,0,0,1,0,84,7,7,52,1,0,0
223034,0,0,0,1,0,56,5,2,34,0,1,0
223102,0,0,60,1,60,42,3,2,30,0,0,0
223074,9640,0,0,1,0,42,7,2,42,1,0,0
223063,0,0,0,1,0,70,7,4,78,1,0,0
223020,0,0,0,1,0,56,7,2,43,0,0,0
223083,6740,0,88,1,88,56,9,9,74,1,0,0
223041,0,0,56,1,56,84,6,2,43,1,0,0
223036,0,0,0,1,0,42,3,2,27,0,0,0
223027,50280,0,96,1,96,108,9,7,56,1,0,0
223116,0,0,0,1,0,35,4,2,49,1,0,0
223104,0,0,0,1,0,0,3,2,55,0,0,0
223098,17000,0,0,1,0,56,6,2,45,1,0,0
223018,0,0,40,1,40,35,4,2,39,0,0,0
223108,0,0,60,1,60,42,3,2,26,0,0,0
223042,0,0,0,1,0,56,5,2,34,0,0,0
223010,0,0,0,1,0,42,4,2,30,0,0,1
047019,26400,0,96,0,96,28,8,5,49,1,0,0
047026,10640,0,0,0,0,14,3,3,54,1,1,1
047037,1180,0,0,0,0,66,9,3,45,1,0,0
047071,15360,0,98,0,98,72,8,5,52,1,0,0
047077,2500,0,54,0,54,38,6,3,41,0,0,1
047040,1880,0,0,0,0,28,5,2,26,1,0,0
047056,9900,0,0,0,0,45,6,2,35,0,1,0
047054,2030,0,0,0,0,64,5,4,53,1,0,1
047064,28400,0,28,0,28,34,9,7,34,1,0,1
047053,1350,0,42,0,46,48,7,2,52,1,0,1
047011,33040,0,0,0,0,50,8,5,52,1,1,1
047012,6480,0,0,0,0,35,4,2,57,1,1,0
047070,4280,0,91,0,91,110,10,5,29,1,0,1
047083,3150,0,148,0,148,76,7,7,59,1,1,1
047014,19690,0,0,0,0,28,4,2,53,0,1,0
047036,0,0,45,0,45,12,2,2,35,0,0,0
048045,69260,0,0,1,0,34,6,3,38,1,1,1
048058,3150,0,0,1,0,54,7,5,58,1,0,1
048069,300,0,30,1,30,42,7,4,54,1,0,1
048006,3750,0,0,1,0,104,7,2,48,1,1,1
048036,10206,0,42,1,42,42,6,4,55,1,0,1
048042,14600,0,108,1,108,56,7,6,31,1,0,1
048077,53300,0,40,1,40,77,11,6,72,1,1,1
048018,8860,0,42,1,42,77,5,4,62,1,0,1
048049,49920,0,42,1,42,135,8,6,28,1,0,1
048075,14800,0,54,1,54,77,7,3,32,1,0,0
048015,2460,0,0,1,0,56,7,5,45,1,0,0
048037,415,0,48,1,48,64,8,5,49,1,1,1
048012,5340,0,42,1,42,75,8,3,43,1,0,0
048096,9490,0,22,1,22,61,10,5,47,1,0,0
048056,24900.4,0,108,1,108,78,9,6,57,1,0,0
205001,300,0,0,0,0,42,NA,NA,NA,NA,NA,NA
205060,850,0,48,0,48,56,NA,NA,NA,NA,NA,NA
205061,1000,0,30,0,30,56,NA,NA,NA,NA,NA,NA
205071,264012,0,0,0,0,63,6,3,41,0,1,0
205108,350,0,48,0,48,56,6,5,50,0,0,0
205064,1300,0,0,0,0,0,2,2,83,1,0,1
205048,1700,0,0,0,0,42,5,4,NA,1,0,0
205104,133282,0,48,0,48,0,7,6,94,1,0,0
205045,1200,0,48,0,48,86,6,6,58,1,0,0
205022,3600,0,0,0,0,0,2,2,36,1,0,0
205096,9600,0,48,0,48,84,6,5,52,1,0,0
205034,18200,0,0,0,0,91,5,5,34,1,1,0
205049,600,0,16,0,16,45,5,2,36,1,0,0
205036,0,0,24,0,24,161,8,7,45,0,0,0
205017,0,0,25,0,25,32,3,1,46,0,0,0
205012,620,0,0,0,0,84,6,5,60,0,0,0
205091,1400,0,84,0,84,56,5,3,48,1,0,0
205105,2500,0,64,0,64,86,10,7,43,1,0,0
205032,300,0,48,0,48,56,7,4,44,1,0,0
205055,830,0,72,0,72,49,6,5,55,1,0,1
205011,0,0,1,0,1,0,6,2,44,0,0,0
205004,14200,0,8,0,8,56,4,4,45,1,0,0
205062,1200,0,103,0,145,84,9,6,56,1,0,0
205069,19800,0,0,0,0,77,6,2,41,1,1,0
205065,0,0,64,0,64,91,8,7,58,0,0,1
205083,41150,0,96,0,96,84,11,9,51,1,1,0
204004,400,0,0,1,0,84,NA,NA,NA,NA,NA,NA
204107,0,0,0,1,0,14,NA,NA,NA,NA,NA,NA
204090,11580,0,56,1,56,51,NA,NA,NA,NA,NA,NA
204019,0,0,0,1,0,60,NA,NA,NA,NA,NA,NA
204027,0,0,0,1,0,28,5,4,42,0,0,0
204073,252600,0,87,1,87,126,11,8,59,1,1,0
204025,0,0,0,1,0,28,5,4,65,0,0,0
